Application_ID,Applicant_name,Father_name,Mother_name,Gender,DOB,Category_Caste,10th_marks,10th_passing_year,Education_Type,12th_Diploma_marks,12th_passing_year,CET_percentile,CET_Scorecard_PDF,10th_Marksheet_PDF,12th_Diploma_Marksheet_PDF,Leaving_Certificate_PDF,Caste_Certificate_PDF,Application_Form_PDF
APP0001,Yauvani Venkataraman,Wriddhish Venkataraman,Zinal Venkataraman,Female,2004-12-20,OBC,89.89,2020,Diploma,75.35,2022,92.23,APP0001_CET_Scorecard.pdf,APP0001_10th_Marksheet.pdf,APP0001_12th_Diploma_Marksheet.pdf,APP0001_Leaving_Certificate.pdf,APP0001_Caste_Certificate.pdf,APP0001_Application_Form.pdf
APP0002,Benjamin Pandey,George Pandey,Riya Pandey,Male,2004-08-24,OBC,64.05,2019,Diploma,75.14,2021,62.96,APP0002_CET_Scorecard.pdf,APP0002_10th_Marksheet.pdf,APP0002_12th_Diploma_Marksheet.pdf,APP0002_Leaving_Certificate.pdf,APP0002_Caste_Certificate.pdf,APP0002_Application_Form.pdf
APP0003,Avi Nagar,Caleb Nagar,Yashodhara Nagar,Male,2006-11-27,OBC,65.79,2019,Diploma,75.69,2022,96.38,APP0003_CET_Scorecard.pdf,APP0003_10th_Marksheet.pdf,APP0003_12th_Diploma_Marksheet.pdf,APP0003_Leaving_Certificate.pdf,APP0003_Caste_Certificate.pdf,APP0003_Application_Form.pdf
APP0004,Vrishti Dayal,Patrick Dayal,Lopa Dayal,Female,2007-04-21,SC/ST,90.81,2020,Diploma,83.6,2021,95.31,APP0004_CET_Scorecard.pdf,APP0004_10th_Marksheet.pdf,APP0004_12th_Diploma_Marksheet.pdf,APP0004_Leaving_Certificate.pdf,APP0004_Caste_Certificate.pdf,APP0004_Application_Form.pdf
APP0005,Gabriel Chaudry,Tanish Chaudry,Nirja Chaudry,Male,2005-08-07,OPEN,79.15,2019,12th,60.18,2022,82.49,APP0005_CET_Scorecard.pdf,APP0005_10th_Marksheet.pdf,APP0005_12th_Diploma_Marksheet.pdf,APP0005_Leaving_Certificate.pdf,APP0005_Caste_Certificate.pdf,APP0005_Application_Form.pdf
APP0006,Vamakshi Sekhon,Anirudh Sekhon,Nirja Sekhon,Female,2005-05-08,OBC,61.05,2020,12th,85.89,2021,74.96,APP0006_CET_Scorecard.pdf,APP0006_10th_Marksheet.pdf,APP0006_12th_Diploma_Marksheet.pdf,APP0006_Leaving_Certificate.pdf,APP0006_Caste_Certificate.pdf,APP0006_Application_Form.pdf
APP0007,Jonathan Deshpande,Onkar Deshpande,Rajata Deshpande,Male,2005-10-02,OPEN,72.06,2018,Diploma,73.49,2022,66.02,APP0007_CET_Scorecard.pdf,APP0007_10th_Marksheet.pdf,APP0007_12th_Diploma_Marksheet.pdf,APP0007_Leaving_Certificate.pdf,APP0007_Caste_Certificate.pdf,APP0007_Application_Form.pdf
APP0008,Daksha Butala,Victor Butala,Vedika Butala,Female,2003-09-29,OBC,87.84,2018,12th,86.77,2020,73.67,APP0008_CET_Scorecard.pdf,APP0008_10th_Marksheet.pdf,APP0008_12th_Diploma_Marksheet.pdf,APP0008_Leaving_Certificate.pdf,APP0008_Caste_Certificate.pdf,APP0008_Application_Form.pdf
APP0009,Fitan Murty,Anay Murty,Ishita Murty,Male,2003-04-02,OBC,84.54,2020,12th,56.05,2021,86.74,APP0009_CET_Scorecard.pdf,APP0009_10th_Marksheet.pdf,APP0009_12th_Diploma_Marksheet.pdf,APP0009_Leaving_Certificate.pdf,APP0009_Caste_Certificate.pdf,APP0009_Application_Form.pdf
APP0010,William Balay,Balveer Balay,Brinda Balay,Male,2005-11-20,OBC,74.52,2018,Diploma,91.17,2022,80.37,APP0010_CET_Scorecard.pdf,APP0010_10th_Marksheet.pdf,APP0010_12th_Diploma_Marksheet.pdf,APP0010_Leaving_Certificate.pdf,APP0010_Caste_Certificate.pdf,APP0010_Application_Form.pdf
APP0011,Lopa Talwar,Liam Talwar,Hema Talwar,Female,2004-01-18,OPEN,73.72,2019,12th,55.65,2021,96.44,APP0011_CET_Scorecard.pdf,APP0011_10th_Marksheet.pdf,APP0011_12th_Diploma_Marksheet.pdf,APP0011_Leaving_Certificate.pdf,APP0011_Caste_Certificate.pdf,APP0011_Application_Form.pdf
APP0012,Dayamai Grewal,Madhav Grewal,Neelima Grewal,Female,2004-04-29,EWS,86.81,2019,12th,87.07,2022,65.47,APP0012_CET_Scorecard.pdf,APP0012_10th_Marksheet.pdf,APP0012_12th_Diploma_Marksheet.pdf,APP0012_Leaving_Certificate.pdf,APP0012_Caste_Certificate.pdf,APP0012_Application_Form.pdf
APP0013,Viraj Jain,Aditya Jain,Yashica Jain,Male,2004-10-25,OBC,71.66,2020,Diploma,82.16,2021,88.94,APP0013_CET_Scorecard.pdf,APP0013_10th_Marksheet.pdf,APP0013_12th_Diploma_Marksheet.pdf,APP0013_Leaving_Certificate.pdf,APP0013_Caste_Certificate.pdf,APP0013_Application_Form.pdf
APP0014,Jatin Dhawan,Zashil Dhawan,Indali Dhawan,Male,2006-07-05,OPEN,88.57,2020,12th,81.67,2020,69.29,APP0014_CET_Scorecard.pdf,APP0014_10th_Marksheet.pdf,APP0014_12th_Diploma_Marksheet.pdf,APP0014_Leaving_Certificate.pdf,APP0014_Caste_Certificate.pdf,APP0014_Application_Form.pdf
APP0015,Kashvi Hayre,Tristan Hayre,Lajita Hayre,Female,2003-11-22,OPEN,61.05,2020,Diploma,94.06,2020,89.57,APP0015_CET_Scorecard.pdf,APP0015_10th_Marksheet.pdf,APP0015_12th_Diploma_Marksheet.pdf,APP0015_Leaving_Certificate.pdf,APP0015_Caste_Certificate.pdf,APP0015_Application_Form.pdf
APP0016,Saanvi De,Hritik De,Vedika De,Female,2003-05-16,OPEN,84.89,2019,12th,55.59,2022,63.75,APP0016_CET_Scorecard.pdf,APP0016_10th_Marksheet.pdf,APP0016_12th_Diploma_Marksheet.pdf,APP0016_Leaving_Certificate.pdf,APP0016_Caste_Certificate.pdf,APP0016_Application_Form.pdf
APP0017,Ira Varughese,Isaac Varughese,Alka Varughese,Female,2003-02-10,SC/ST,64.19,2018,Diploma,58.29,2020,95.06,APP0017_CET_Scorecard.pdf,APP0017_10th_Marksheet.pdf,APP0017_12th_Diploma_Marksheet.pdf,APP0017_Leaving_Certificate.pdf,APP0017_Caste_Certificate.pdf,APP0017_Application_Form.pdf
APP0018,Advaith Wagle,Chatresh Wagle,Zinal Wagle,Male,2006-12-04,OBC,79.17,2019,12th,79.0,2020,90.22,APP0018_CET_Scorecard.pdf,APP0018_10th_Marksheet.pdf,APP0018_12th_Diploma_Marksheet.pdf,APP0018_Leaving_Certificate.pdf,APP0018_Caste_Certificate.pdf,APP0018_Application_Form.pdf
