app_id,doc_type,name,father_name,mother_name,dob,school,board,year,percentage,education_type,institution,category,gender,rank,percentile,reason,character,issue_date,certificate_number,issuing_authority,last_institution,year_of_leaving
APP0001,10th_marksheet,Yauvani Venkataraman,Wriddhish Venkataraman,Zinal Venkataraman,2004-12-20,,,2020,89.89%,,,,,,,,,,,,,
APP0001,diploma_marksheet,Yauvani Venkataraman,Wriddhish Venkataraman,,,,,2022,75.35%,Diploma,,,,,,,,,,,,
APP0001,leaving_certificate,Yauvani Venkataraman,Wriddhish Venkataraman,,2004-12-20,,,,,,,,,,,,,,,,,
APP0001,cet_scorecard,Yauvani Venkataraman,Wriddhish Venkataraman,Zinal Venkataraman,2004-12-20,,,,,,,OBC,Female,,92.23%,,,,,,,
APP0001,caste_certificate,Yauvani Venkataraman,Wriddhish Venkataraman,,2004-12-20,,,,,,,OBC,,,,,,,,,,
APP0001,application_form,Yauvani Venkataraman,Wriddhish Venkataraman,Zinal Venkataraman,2004-12-20,,,,,,,OBC,Female,,,,,,,,,
APP0002,10th_marksheet,Benjamin Pandey,George Pandey,Riya Pandey,2004-08-24,,,2019,64.05%,,,,,,,,,,,,,
APP0002,diploma_marksheet,Benjamin Pandey,George Pandey,,,,,2021,75.14%,Diploma,,,,,,,,,,,,
APP0002,leaving_certificate,Benjamin Pandey,George Pandey,,2004-08-24,,,,,,,,,,,,,,,,,
APP0002,cet_scorecard,Benjamin Pandey,George Pandey,Riya Pandey,2004-08-24,,,,,,,OBC,Male,,62.96%,,,,,,,
APP0002,caste_certificate,Benjamin Pandey,George Pandey,,2004-08-24,,,,,,,OBC,,,,,,,,,,
APP0002,application_form,Benjamin Pandey,George Pandey,Riya Pandey,2004-08-24,,,,,,,OBC,Male,,,,,,,,,
APP0003,10th_marksheet,Avi Nagar,Caleb Nagar,Yashodhara Nagar,2006-11-27,,,2019,65.79%,,,,,,,,,,,,,
APP0003,diploma_marksheet,Avi Nagar,Caleb Nagar,,,,,2022,75.69%,Diploma,,,,,,,,,,,,
APP0003,leaving_certificate,Avi Nagar,Caleb Nagar,,2006-11-27,,,,,,,,,,,,,,,,,
APP0003,cet_scorecard,Avi Nagar,Caleb Nagar,Yashodhara Nagar,2006-11-27,,,,,,,OBC,Male,,96.38%,,,,,,,
APP0003,caste_certificate,Avi Nagar,Caleb Nagar,,2006-11-27,,,,,,,OBC,,,,,,,,,,
APP0003,application_form,Avi Nagar,Caleb Nagar,Yashodhara Nagar,2006-11-27,,,,,,,OBC,Male,,,,,,,,,
APP0004,10th_marksheet,Vrishti Dayal,Patrick Dayal,Lopa Dayal,2007-04-21,,,2020,90.81%,,,,,,,,,,,,,
APP0004,diploma_marksheet,Vrishti Dayal,Patrick Dayal,,,,,2021,83.6%,Diploma,,,,,,,,,,,,
APP0004,leaving_certificate,Vrishti Dayal,Patrick Dayal,,2007-04-21,,,,,,,,,,,,,,,,,
APP0004,cet_scorecard,Vrishti Dayal,Patrick Dayal,Lopa Dayal,2007-04-21,,,,,,,SC/ST,Female,,95.31%,,,,,,,
APP0004,caste_certificate,Vrishti Dayal,Patrick Dayal,,2007-04-21,,,,,,,SC/ST,,,,,,,,,,
APP0004,application_form,Vrishti Dayal,Patrick Dayal,Lopa Dayal,2007-04-21,,,,,,,SC/ST,Female,,,,,,,,,
APP0005,10th_marksheet,Gabriel Chaudry,Tanish Chaudry,Nirja Chaudry,2005-08-07,,,2019,79.15%,,,,,,,,,,,,,
APP0005,diploma_marksheet,Gabriel Chaudry,Tanish Chaudry,,,,,2022,60.18%,12th,,,,,,,,,,,,
APP0005,leaving_certificate,Gabriel Chaudry,Tanish Chaudry,,2005-08-07,,,,,,,,,,,,,,,,,
APP0005,cet_scorecard,Gabriel Chaudry,Tanish Chaudry,Nirja Chaudry,2005-08-07,,,,,,,OPEN,Male,,82.49%,,,,,,,
APP0005,caste_certificate,Gabriel Chaudry,Tanish Chaudry,,2005-08-07,,,,,,,OPEN,,,,,,,,,,
APP0005,application_form,Gabriel Chaudry,Tanish Chaudry,Nirja Chaudry,2005-08-07,,,,,,,OPEN,Male,,,,,,,,,
APP0006,10th_marksheet,Vamakshi Sekhon,Anirudh Sekhon,Nirja Sekhon,2005-05-08,,,2020,61.05%,,,,,,,,,,,,,
APP0006,diploma_marksheet,Vamakshi Sekhon,Anirudh Sekhon,,,,,2021,85.89%,12th,,,,,,,,,,,,
APP0006,leaving_certificate,Vamakshi Sekhon,Anirudh Sekhon,,2005-05-08,,,,,,,,,,,,,,,,,
